Date,Store_ID,Product_ID,Units_Sold,Demand_Forecast,Discount,Weather_Condition,Holiday/Promotion,Region,Competitor_Pricing,Seasonality
2022-01-01,S001,P0001,127,135.47,0.20,Rainy,0,North,29.69,Autumn
2022-01-01,S001,P0002,150,144.04,0.20,Sunny,0,South,66.16,Autumn
2022-01-01,S001,P0003,65,74.02,0.10,Sunny,1,West,31.32,Summer
2022-01-01,S001,P0004,61,62.18,0.10,Cloudy,1,North,34.74,Autumn
2022-01-01,S001,P0005,14,9.26,0.00,Sunny,0,East,68.95,Summer
2022-01-01,S001,P0006,128,139.82,0.10,Sunny,1,South,79.35,Winter
2022-01-01,S001,P0007,97,108.92,0.10,Rainy,1,East,36.55,Winter
2022-01-01,S001,P0008,312,329.73,0.05,Cloudy,0,North,100.09,Spring
2022-01-01,S001,P0009,175,174.15,0.10,Cloudy,0,West,17.66,Autumn
2022-01-01,S001,P0010,28,24.47,0.00,Rainy,1,South,61.21,Winter
2022-01-01,S001,P0011,150,152.74,0.10,Sunny,1,South,61.42,Spring
2022-01-01,S001,P0012,24,26.75,0.20,Snowy,0,West,62.21,Spring
2022-01-01,S001,P0013,42,41.46,0.00,Cloudy,0,South,46.31,Spring
2022-01-01,S001,P0014,12,6.80,0.00,Sunny,0,West,80.06,Spring
2022-01-01,S001,P0015,369,363.46,0.15,Snowy,0,North,95.80,Winter
2022-01-01,S001,P0016,255,255.74,0.05,Cloudy,1,North,20.27,Autumn
2022-01-01,S001,P0017,246,255.37,0.20,Sunny,0,West,16.49,Winter
2022-01-01,S001,P0018,151,147.27,0.05,Cloudy,0,South,23.13,Autumn
2022-01-01,S001,P0019,257,267.38,0.10,Cloudy,0,East,77.26,Winter
2022-01-01,S001,P0020,99,115.23,0.05,Cloudy,0,East,27.10,Spring
2022-01-01,S002,P0001,104,112.55,0.20,Sunny,1,South,30.78,Spring
2022-01-01,S002,P0002,141,135.62,0.10,Rainy,1,West,45.21,Winter
2022-01-01,S002,P0003,182,176.31,0.20,Snowy,1,East,22.00,Spring
2022-01-01,S002,P0004,63,54.57,0.00,Cloudy,0,West,28.06,Autumn
2022-01-01,S002,P0005,156,150.90,0.20,Rainy,0,West,80.64,Autumn
2022-01-01,S002,P0006,250,242.57,0.20,Cloudy,0,North,86.82,Winter
2022-01-01,S002,P0007,393,401.48,0.05,Sunny,0,West,93.33,Summer
2022-01-01,S002,P0008,29,35.54,0.20,Snowy,0,West,65.36,Summer
2022-01-01,S002,P0009,9,14.78,0.05,Rainy,1,South,82.06,Winter
2022-01-01,S002,P0010,126,132.75,0.00,Snowy,1,North,65.22,Winter
2022-01-01,S002,P0011,13,7.44,0.00,Snowy,1,West,33.98,Autumn
2022-01-01,S002,P0012,25,37.27,0.05,Rainy,1,East,19.01,Winter
2022-01-01,S002,P0013,283,299.70,0.20,Cloudy,0,East,58.50,Spring
2022-01-01,S002,P0014,359,370.36,0.20,Cloudy,0,East,90.85,Summer
2022-01-01,S002,P0015,129,148.55,0.15,Sunny,1,South,55.23,Winter
2022-01-01,S002,P0016,63,58.07,0.20,Rainy,1,South,42.17,Spring
2022-01-01,S002,P0017,373,390.89,0.20,Cloudy,1,West,10.00,Winter
2022-01-01,S002,P0018,160,177.41,0.05,Cloudy,0,North,54.39,Summer
2022-01-01,S002,P0019,15,34.38,0.05,Sunny,1,East,81.02,Winter
2022-01-01,S002,P0020,101,115.00,0.00,Rainy,1,West,91.56,Spring
2022-01-01,S003,P0001,147,161.09,0.05,Sunny,1,South,67.39,Summer
2022-01-01,S003,P0002,4,11.11,0.10,Sunny,1,West,25.63,Spring
